id,code,name,tbm_model,tbm_type,diameter,device_len,device_weight,device_power,cutter_speed,producer,driver,production_date,owner,rated_thrust,cutter_torque,source,hinge,geo,remark,cutter_open,ctbm_code,motor_num,frequency,gf_ids,screw_torque,screw_power,segment_outer,worth,segment_param,use_date,particle_size,fp_power,boot_support,main_belt_speed,le_belt_speed,plc_file_ids,alarm_time_limit,producer_name,owner_name,driver_type,thrust_group_num,earth_pressure_bar_num
583,crec988,中铁988,,8,9.13,115,1200,5337,7.7,2,1,,10025,81853,24212,TRUE,1,,,,CREC988,0,10,,,,8800,,8800/8000-1800,,,,,,,64bb906faf0ef1000723b8ce,30,中铁工程装备集团,中铁二局集团有限公司,电驱,6,8
582,robbins423,罗宾斯423,XRE9168,8,9.16,110,1400,2970,5.8,1000,1,,10025,9400,22277,TRUE,1,,,,ROBBINS423,,,,,,,,,,,,,,,,,罗宾斯地下工程设备有限公司,中铁二局集团有限公司,电驱,4,8
